Source.Name,Subject,Condition,Time_Stamp,Task_nr,Event,Single_Glance_duration,Total_glance_duration_pr_task,Glances_pr._task,Total_glances,Total_glance_time,Crashes_pr._task,Total_crashes,Lane_broken_pr_task,Total_lane_broken
p23.csv,23,acrylic,4/27/2023 11:35,0,unsure,0,0,0,0,0,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,task_started,0,0,0,0,0,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,glanced,0.35,0.35,1,1,0.35,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,glanced,0.71,1.06,2,2,1.06,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,glanced,0.46,1.52,3,3,1.52,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,glanced,0.5,2.02,4,4,2.02,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,glanced,0.56,2.58,5,5,2.58,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,1,glanced,0.52,3.1,6,6,3.1,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,2,task_started,0,0,0,6,3.1,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,2,glanced,0.63,0.63,1,7,3.73,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,2,glanced,0.56,1.19,2,8,4.29,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:35,2,glanced,0.66,1.85,3,9,4.95,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,task_started,0,0,0,9,4.95,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.43,0.43,1,10,5.38,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.68,1.11,2,11,6.06,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.74,1.85,3,12,6.8,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.58,2.43,4,13,7.38,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.52,2.95,5,14,7.9,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.66,3.61,6,15,8.56,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.64,4.25,7,16,9.2,0,0,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,crash,0,4.25,7,16,9.2,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.62,4.87,8,17,9.82,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.82,5.69,9,18,10.64,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.73,6.42,10,19,11.37,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.66,7.08,11,20,12.03,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.67,7.75,12,21,12.7,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.67,8.42,13,22,13.37,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.79,9.21,14,23,14.16,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.68,9.89,15,24,14.84,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.61,10.5,16,25,15.45,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.65,11.15,17,26,16.1,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.65,11.8,18,27,16.75,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.7,12.5,19,28,17.45,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.7,13.2,20,29,18.15,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.68,13.88,21,30,18.83,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,1.63,15.51,22,31,20.46,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.12,15.63,23,32,20.58,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.95,16.58,24,33,21.53,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.69,17.27,25,34,22.22,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,3,glanced,0.71,17.98,26,35,22.93,1,1,0,0
p23.csv,23,acrylic,4/27/2023 11:36,4,task_started,0,0,0,35,22.93,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,4,glanced,0.49,0.49,1,36,23.42,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,4,glanced,0.53,1.02,2,37,23.95,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,4,glanced,0.66,1.68,3,38,24.61,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,4,glanced,0.8,2.48,4,39,25.41,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,4,glanced,1.05,3.53,5,40,26.46,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,5,task_started,0,0,0,40,26.46,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,5,glanced,1.03,1.03,1,41,27.49,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,5,glanced,0.95,1.98,2,42,28.44,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,5,glanced,1.08,3.06,3,43,29.52,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,5,glanced,0.83,3.89,4,44,30.35,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,6,task_started,0,0,0,44,30.35,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,6,glanced,0.73,0.73,1,45,31.08,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,6,glanced,0.85,1.58,2,46,31.93,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,6,glanced,0.72,2.3,3,47,32.65,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,6,glanced,0.7,3,4,48,33.35,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,6,glanced,0.63,3.63,5,49,33.98,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,7,task_started,0,0,0,49,33.98,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,7,glanced,1.14,1.14,1,50,35.12,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:37,7,glanced,0.58,1.72,2,51,35.7,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:38,8,task_started,0,0,0,51,35.7,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:38,8,crash,0,0.8,1,52,36.5,1,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,8,glanced,0.8,0.8,1,52,36.5,0,1,0,0
p23.csv,23,acrylic,4/27/2023 11:38,8,glanced,0.62,1.42,2,53,37.12,1,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,8,glanced,0.88,2.3,3,54,38,1,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,8,glanced,1.11,3.41,4,55,39.11,1,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,9,task_started,0,0,0,55,39.11,0,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,9,crash,0,1.03,1,56,40.14,1,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,9,glanced,1.03,1.03,1,56,40.14,0,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,9,unsure,0,1.03,1,56,40.14,0,2,0,0
p23.csv,23,acrylic,4/27/2023 11:38,9,glanced,0.65,1.68,2,57,40.79,1,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,task_started,0,0,0,57,40.79,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.29,0.29,1,58,41.08,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.66,0.95,2,59,41.74,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.94,1.89,3,60,42.68,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.84,2.73,4,61,43.52,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.82,3.55,5,62,44.34,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.6,4.15,6,63,44.94,0,3,0,0
p23.csv,23,acrylic,4/27/2023 11:38,10,glanced,0.55,4.7,7,64,45.49,0,3,0,0
P24.csv,24,acrylic,4/27/2023 14:15,1,task_started,0,0,0,0,0,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,1,glanced,0.6,0.6,1,1,0.6,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,1,glanced,0.48,1.08,2,2,1.08,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,1,glanced,0.84,1.92,3,3,1.92,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,2,task_started,0,0,0,3,1.92,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,2,glanced,0.62,0.62,1,4,2.54,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,2,glanced,0.6,1.22,2,5,3.14,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:15,2,glanced,0.26,1.48,3,6,3.4,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,task_started,0,0,0,6,3.4,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,glanced,0.54,0.54,1,7,3.94,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,glanced,0.44,0.98,2,8,4.38,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,glanced,0.4,1.38,3,9,4.78,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,glanced,0.56,1.94,4,10,5.34,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,glanced,0.8,2.74,5,11,6.14,0,0,0,0
P24.csv,24,acrylic,4/27/2023 14:16,3,glanced,1.18,3.92,6,12,7.32,0,0,0,0
