Source.Name,Subject,Condition,Time_Stamp,Task_nr,Event,Total_glance_duration_pr_task,Glances_pr._task,Total_glances,Total_glance_time,Crashes_pr._task,Total_crashes
zP23_short.csv,23,acrylic,4/27/2023 11:35,1,glanced,3.1,6,6,3.1,0,0
zP23_short.csv,23,acrylic,4/27/2023 11:35,2,glanced,1.85,3,9,4.95,0,0
zP23_short.csv,23,acrylic,4/27/2023 11:36,3,glanced,17.98,26,35,22.93,1,1
zP23_short.csv,23,acrylic,4/27/2023 11:37,4,glanced,3.53,5,40,26.46,0,1
zP23_short.csv,23,acrylic,4/27/2023 11:37,5,glanced,3.89,4,44,30.35,0,1
zP23_short.csv,23,acrylic,4/27/2023 11:37,6,glanced,3.63,5,49,33.98,0,1
zP23_short.csv,23,acrylic,4/27/2023 11:37,7,glanced,1.72,2,51,35.7,0,1
zP23_short.csv,23,acrylic,4/27/2023 11:38,8,glanced,3.41,4,55,39.11,1,2
zP23_short.csv,23,acrylic,4/27/2023 11:38,9,glanced,1.68,2,57,40.79,1,3
zP23_short.csv,23,acrylic,4/27/2023 11:38,10,glanced,4.7,7,64,45.49,0,3
zP2_short.csv,2,combination,4/24/2023 14:25,0,crash,0,0,0,0,1,1
zP24_short.csv,24,acrylic,4/27/2023 14:15,1,glanced,1.92,3,3,1.92,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:15,2,glanced,1.48,3,6,3.4,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:16,3,glanced,5.45,9,15,8.85,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:16,4,glanced,5.7,8,23,14.55,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:16,5,glanced,1.46,2,25,16.01,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:17,6,glanced,2.02,4,29,18.03,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:17,7,glanced,0.78,1,30,18.81,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:17,8,glanced,3.95,7,37,22.76,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:18,9,glanced,1.91,3,40,24.67,0,0
zP24_short.csv,24,acrylic,4/27/2023 14:18,10,glanced,3.55,5,45,28.22,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:43,1,glanced,1.92,3,3,1.92,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:43,2,glanced,2.81,3,6,4.73,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:44,3,glanced,2.45,2,8,7.18,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:44,4,glanced,3.47,3,11,10.65,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:44,5,glanced,3.88,6,17,14.53,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:45,6,glanced,2.63,4,21,17.16,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:45,7,glanced,0.99,1,22,18.15,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:45,8,glanced,3.65,4,26,21.8,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:46,9,glanced,4.55,2,28,26.35,0,0
zP27_short.csv,27,acrylic,4/28/2023 9:46,10,glanced,4.03,3,31,30.38,0,0
zP4_short.csv,4,touch_only,4/25/2023 10:19,0,unsure,0,0,0,0,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:41,1,glanced,8.84,7,7,8.84,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:41,2,glanced,0.99,1,8,9.83,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:42,3,glanced,6.43,10,18,16.26,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:42,4,glanced,2.51,3,21,18.77,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:42,5,glanced,2.73,3,24,21.5,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:43,6,glanced,1.48,2,26,22.98,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:43,7,glanced,1.81,2,28,24.79,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:43,8,glanced,5.7,4,32,30.49,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:44,9,unsure,2.36,2,34,32.85,0,0
zP28_short.csv,28,acrylic,4/28/2023 9:44,10,glanced,3.42,3,37,36.27,1,1
zP29_short.csv,29,acrylic,4/28/2023 12:48,1,glanced,1.29,2,2,1.29,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:48,2,glanced,4.04,4,6,5.33,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:49,3,glanced,6.31,9,15,11.64,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:49,4,glanced,2.93,6,21,14.57,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:49,5,glanced,1.23,2,23,15.8,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:50,6,glanced,1.37,2,25,17.17,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:50,7,glanced,1.59,2,27,18.76,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:50,8,glanced,2.17,2,29,20.93,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:50,9,glanced,1.52,2,31,22.45,0,0
zP29_short.csv,29,acrylic,4/28/2023 12:51,10,glanced,2.76,4,35,25.21,1,1
zP32_short.csv,32,acrylic,5/1/2023 9:35,1,glanced,2.16,3,3,2.16,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:36,2,unsure,9.01,8,11,11.17,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:36,3,glanced,5.49,5,16,16.66,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:37,4,glanced,2.79,3,19,19.45,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:37,5,unsure,4.43,5,24,23.88,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:38,6,glanced,2.63,3,27,26.51,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:38,7,glanced,0.64,1,28,27.15,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:39,8,glanced,16.33,15,43,43.48,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:39,9,glanced,2.54,2,45,46.02,0,0
zP32_short.csv,32,acrylic,5/1/2023 9:40,10,glanced,4.05,3,48,50.07,0,0
zP7_short.csv,7,combination,4/25/2023 12:26,0,unsure,0,0,0,0,0,0
zP33_short.csv,33,acrylic,5/1/2023 9:59,1,glanced,2.04,8,8,2.04,0,0
zP33_short.csv,33,acrylic,5/1/2023 9:59,2,glanced,0.54,2,10,2.58,0,0
zP33_short.csv,33,acrylic,5/1/2023 10:00,3,glanced,1.34,4,14,3.92,0,0
zP33_short.csv,33,acrylic,5/1/2023 10:00,4,glanced,3.37,10,24,7.29,0,0
zP33_short.csv,33,acrylic,5/1/2023 10:01,5,glanced,2.76,6,30,10.05,0,0
zP33_short.csv,33,acrylic,5/1/2023 10:01,6,glanced,1.34,4,34,11.39,0,0
zP33_short.csv,33,acrylic,5/1/2023 10:01,7,glanced,0.59,2,36,11.98,0,0
zP33_short.csv,33,acrylic,5/1/2023 10:02,8,unsure,3.27,7,43,15.25,1,1
zP33_short.csv,33,acrylic,5/1/2023 10:02,9,glanced,2.32,6,49,17.57,0,1
zP33_short.csv,33,acrylic,5/1/2023 10:02,10,glanced,5.03,13,62,22.6,0,1
zP8_short.csv,8,touch_only,4/25/2023 13:18,0,unsure,0,0,0,0,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:45,1,glanced,2.88,3,3,2.88,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:46,2,glanced,1,1,4,3.88,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:46,3,glanced,3,4,8,6.88,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:47,4,glanced,4.13,5,13,11.01,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:47,5,glanced,2.5,2,15,13.51,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:47,6,glanced,5.44,7,22,18.95,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:48,7,glanced,2.34,3,25,21.29,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:48,8,glanced,4.22,5,30,25.51,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:48,9,glanced,6.98,8,38,32.49,0,0
zP36_short.csv,36,acrylic,5/1/2023 12:49,10,glanced,7.82,11,49,40.31,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:07,1,glanced,3.77,4,4,3.77,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:07,2,glanced,2.08,2,6,5.85,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:08,3,glanced,3.06,3,9,8.91,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:08,4,glanced,3.12,4,13,12.03,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:09,5,glanced,3.15,4,17,15.18,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:09,6,glanced,2.36,3,20,17.54,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:09,7,glanced,0.81,1,21,18.35,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:09,8,glanced,1.59,2,23,19.94,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:10,9,glanced,3.15,2,25,23.09,0,0
zP37_short.csv,37,acrylic,5/1/2023 13:10,10,glanced,5,4,29,28.09,0,0
